iter	Logloss
0	0.6815792888
1	0.6738988319
2	0.6665744484
3	0.6593671623
4	0.6549507271
5	0.6503255401
6	0.646165676
7	0.6432036659
8	0.6356097401
9	0.6315032082
10	0.627162312
11	0.6232193425
12	0.6213999422
13	0.6179465757
14	0.6140209392
15	0.6106158064
16	0.6083308954
17	0.6062483754
18	0.6031476058
19	0.6004314179
20	0.5975280276
21	0.5956702813
22	0.5933826817
23	0.5914683529
24	0.5894587519
25	0.5870852568
26	0.5831643782
27	0.5819326348
28	0.5803645421
29	0.5790617779
30	0.5776450629
31	0.5760137704
32	0.5741462288
33	0.5728001629
34	0.5707427171
35	0.5691579784
36	0.5668345153
37	0.5624500587
38	0.5612181322
39	0.5593569967
40	0.5579658157
41	0.5565130184
42	0.5546711611
43	0.553999386
44	0.5535284721
45	0.5520464898
46	0.5506126978
47	0.5495191831
48	0.5483665648
49	0.5468919195
50	0.5457835963
51	0.5438532736
52	0.5403317214
53	0.53822595
54	0.5377856832
55	0.5351868934
56	0.5323370041
57	0.5313843755
58	0.5297947869
59	0.5281163086
60	0.5251701636
61	0.5227627743
62	0.5209840156
63	0.5191497069
64	0.5186826283
65	0.5183197856
66	0.516736956
67	0.5160901723
68	0.5152552379
69	0.5120553382
70	0.5116390012
71	0.5109155774
72	0.5091460011
73	0.5079996419
74	0.5066987209
75	0.5063600052
76	0.5060723595
77	0.5046530793
78	0.5039071645
79	0.5024491154
80	0.5007601572
81	0.4993314662
82	0.498021106
83	0.4954363574
84	0.4947013197
85	0.4937497432
86	0.4924654318
87	0.4916363267
88	0.4909433628
89	0.4907019576
90	0.4895042802
91	0.4889253596
92	0.4883357014
93	0.4868563155
94	0.4866619602
95	0.4862473505
96	0.4858241114
97	0.4846167257
98	0.4832127102
99	0.4816225822
100	0.4811983414
101	0.480992567
102	0.480359508
103	0.479503788
104	0.4791551728
105	0.4768202598
106	0.4764020885
107	0.4754604564
108	0.4749798381
109	0.4739980737
110	0.4736873531
111	0.4731254839
112	0.4725218986
113	0.4723358096
114	0.4717452005
115	0.4716819398
116	0.4705936455
117	0.4702211532
118	0.470139377
119	0.4699854176
120	0.4692032618
121	0.4690750338
122	0.4663713925
123	0.4662160613
124	0.4660011956
125	0.4656089066
126	0.4654633831
127	0.4647289047
128	0.4644369808
129	0.4627560543
130	0.4610303701
131	0.4609701635
132	0.4604400887
133	0.4596086375
134	0.4592538871
135	0.4587172637
136	0.4578487303
137	0.4573335844
138	0.4570672171
139	0.4556677745
140	0.4554954702
141	0.4548875118
142	0.4547520356
143	0.4545095425
144	0.4531920959
145	0.4529228391
146	0.452345556
147	0.4520362869
148	0.4515670454
149149	0.43898420150150	0.4385181381
151	0.4372737304
152	0.4371192722
153	0.4368024955
154	0.4364927277
155	0.4360585989
156	0.4354390678
157	0.4344082292
158	0.4339846625
159	0.4333067799
160	0.4323792451
161	0.4319058928
162	0.4313501664
163	0.4310252088
164	0.4303964215
165	0.4301435585
166	0.4296402449
167	0.4293864747
168	0.4287186055
169	0.4284465686
170	0.4276147528
171	0.4275206091
172	0.4269177753
173	0.4268282203
174	0.4257635972
175	0.4256072257
176	0.4245799645
177	0.4243947239
178	0.423191609
179	0.4219181222
180	0.4218032317
181	0.4204924706
182	0.4194761248
183	0.4184636081
184	0.4180060989
185	0.4176274346
186	0.4169776252
187	0.4164493067
188	0.4154447522
189	0.4150455708
190	0.4145062164
191	0.4132361419
192	0.4117168433
193	0.4111621696
194	0.4108791782
195	0.4104782464
196	0.4100508341
197	0.409179409
198	0.4084210337
199	0.4068097939
200	0.4055924897
201	0.4038411368
202	0.4036209783
203	0.4031104796
204	0.4025024234
205	0.4008612178
206	0.3999205145
207	0.3991928938
208	0.398533609
209	0.3983350088
210	0.3971075537
211	0.3960147339
212	0.3951984685
213	0.3937905778
214	0.3932472096
215	0.392194827
216	0.3913012377
217	0.3904966494
218	0.3886626629
219	0.3875255707
220	0.3870608833
221	0.3848222395
222	0.3838093406
223	0.3828011272
224	0.3817676069
225	0.3804334899
226	0.3799207713
227	0.3783135296
228	0.3765216278
229	0.375194536
230	0.3740048216
231	0.3730051543
232	0.3717849909
233	0.3705763643
234	0.3691666847
235	0.3674256631
236	0.3662218309
237	0.3654982693
238	0.3639843189
239	0.3620052419
240	0.3610507749
241	0.3596408122
242	0.3581478728
243	0.3568577963
244	0.3552700997
245	0.3543888659
246	0.353326195
247	0.3522560314
248	0.351487186
249	0.3507941099
250	0.3498079531
251	0.3486462396
252	0.3473369311
253	0.346440873
254	0.3448845841
255	0.3432127813
256	0.3419327896
257	0.3411203648
258	0.3402085547
259	0.3391798433
260	0.3380213082
261	0.3366889279
262	0.335658664
263	0.3349680032
264	0.3343126862
265	0.3333447107
266	0.3323206944
267	0.331561768
268	0.329649169
269	0.3284545769
270	0.3272785078
271	0.3263460117
272	0.3253341085
273	0.3239990012
274	0.3227334117
275	0.321518578
276	0.3206808161
277	0.3188831405
278	0.3179512941
279	0.3164204898
280	0.3146536268
281	0.3137327963
282	0.3125278985
283	0.3110161685
284	0.3096576924
285	0.3078237999
286	0.3066682935
287	0.305749182
288	0.3050400602
289	0.3043244742
290	0.3033255346
291	0.3026986897
292	0.3014257755
293	0.3000578138
294	0.2992244923
295	0.2986275028
296	0.297776721
297	0.296988435
298	0.2960875086
299	0.2951980398

